"col1","col2","col3","col4","col5","col6","col7","col8"
"02638-2025","09/14/2025 2:03 AM","09/14/2025 12:10 AM - 09/14/2025","Liquor Law Violation","University Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/Referred to Office of Student Conduct & Community Standards"
"02636-2025","09/14/2025 1:16 AM","09/13/2025 11:30 PM - 09/13/2025","Liquor Law Violation","Carlyle Court Residence Hall","Washington Square","A student reported a Liquor Law Violation. x4","Closed/Referred to Office of Student Conduct & Community Standards"
"02624-2025","09/13/2025 1:05 PM","09/12/2025 11:50 PM - 09/12/2025","Liquor Law Violation","Carlyle Court Residence Hall","Washington Square","A student reported a Liquor Law Violation. x5","Closed/Referred to Office of Student Conduct & Community Standards"
"02621-2025","09/13/2025 9:27 AM","09/12/2025 11:10 PM - 09/12/2025","Liquor Law Violation","Brittany Residence Hall","Washington Square","A student reported a Liquor Law Violation. x4","Closed/Referred to Office of Student Conduct & Community Standards"
"02614-2025","09/13/2025 12:45 AM","09/12/2025 11:50 PM - 09/12/2025","Liquor Law Violation","Weinstein Residence Hall","Washington Square","A student reported a Liquor Law Violation. x3","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-2483","09/15/2025 10:21 AM","09/15/2025 9:35 AM - 09/15/2025 10:57 AM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Closed/Referred to NYPD"
"2025-2476","09/14/2025 5:56 PM","09/14/2025 5:52 PM - 09/14/2025 6:20 PM","Falsely Reporting an Incident","Bobst Library","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2473","09/14/2025 2:42 PM","09/14/2025","Simple Assault","Waverly Place and Broadway","Washington Square","A student reported a Simple Assault.","Open"
"2025-2451","09/12/2025 9:04 PM","09/07/2025 - 09/12/2025","Harassment","Founders Residence Hall","Washington Square","A student reported Harassment.","Open"
"2025-2450","09/12/2025 4:20 PM","09/11/2025","Harassment","10 Astor Place","Washington Square","A staff member reported Harassment.","Open"
"2025-2447","09/12/2025 11:42 AM","09/12/2025 11:32 AM - 09/12/2025 12:18 PM","Criminal Mischief","Bobst Library - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/Referred to NYPD"
"02604-2025","09/12/2025 2:00 AM","09/12/2025 12:24 AM - 09-12-2025","Liquor Law Violation","Weinstein Residence Hall","Washington Square","A student reported a Liquor Law Violation. x3","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-2435","09/11/2025 12:32 PM","09/11/2025 11:34 AM - 09-11-2025","Bomb Threat/Falsely Reporting an Incident.","400 Lafayette Street","Washington Square","A staff member reported a Bomb Threat/Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2434","09/11/2025 12:26 PM","09/11/2025 11:28 AM - 09/11/2025 11:40 AM","Larceny","Schwartz Hall","Kips Bay","A staff member reported a Larceny.","Open"
"2025-2433","09/11/2025 12:09 PM","09/11/2025 6:57 AM - 09-11-2025","Harassment","1st Avenue & East 24th Street","Kips Bay","A student reported Harassment.","Open"
"2025-2432","09/11/2025 11:00 AM","09/11/2025 10:45 AM - 09/11/2025 12:20 PM","Hate Crime/Intimidation","383 Lafayette Street","Washington Square","A staff member reported a Hate Crime/Intimidation.","Closed/Referred to NYPD"
"02574-2025","09/10/2025 9:50 PM","09-05-2025","Rape / Liquor Law Violation","University Hall","Washington Square","A student reported a Rape and underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2430","09/11/2025 11:13 AM","09/11/2025 10:15 AM - 09/11/2025 1:18 PM","Intimidation / Hate Crime","44 W 4th Street","Washington Square","A staff member reported intimidation motivated by bias.","Closed/ Referred to NYPD"
"2025-2429","09/11/2025 7:10 AM","09/11/2025 6:35 AM","Criminal Trespass","Skirball Center","Washington Square","A staff member reported Criminal Trespass.","Open"
"2025-2424","09/10/2025 3:15 PM","09/10/2025 3:00 PM - 09/10/2025 3:16 PM","Harassment","Washington Square Park","Washington Square","A student reported Harassment.","Open"
"2025-2422","09/10/2025 4:24 PM","09/10/2025 3:45 PM","Harassment","Coral Towers - Exterior","Washington Square","A student reported Harassment.","Open"
"2025-2417","09/10/2025 12:00 AM","04/2025 - 09/10/2025","Harassment","19 University Place","Washington Square","A staff member reported Harassment.","Closed/ Referred to NYPD"
"2025-2416","09/10/2025 12:00 PM","09/09/2025 9:30 PM","Criminal Mischief","Weinstein Hall","Washington Square","A staff member reported property damage.","Open"
"2025-2415","09/10/2025 12:00 AM","10/07/2024 12:30 PM - 10/07/2024 12:40 AM","Larceny","Palladium Hall","Washington Square","A student reported stolen property.","Open"
"2025-2414","09/10/2025 11:49 AM","09/10/2025 11:30 AM","Motor Vehicle Accident","West 4th at Mercer Street","Washington Square","A staff member reported a Motor Vehicle Accident.","Open"
"2025-2389","09/08/2025 2:41 PM","09/04/2025 5:59 AM","Criminal Mischief and Larceny","Lipton Hall","Washington Square","A card reader was removed from an exterior wall of Lipton Hall.","Open"
"2025-2413","09/10/2025 1:30 AM","09/10/2025 1:27 AM - 09/10/2025 1:30 AM","Harassment","Third North Residence Hall","Washington Square","Five students reports Harassment.","Open"
"2025-2412","09/09/2025 11:39 PM","09/09/2025 10:00 PM - 09/09/2025 11:30 PM","Criminal Mischief / Hate Crime","Weinstein Residence Hall","Washington Square","A student reported graffiti motivated by bias.","Closed/ Referred to NYPD"
"2025-2408","09/09/2025 6:10 PM","09/09/2025 5:37 PM","Simple Assault","Vanderbilt Hall - Exterior","Washington Square","A student reported a Simple Assault.","Closed/ Referred to NYPD"
"02550-2025","09/09/2025 12:00 PM","09/07/2025 3:05 AM","Larceny","Brittany Hall","Washington Square","A student reported stolen property.","Closed/ Referred to Office of Student Conduct & Community Standards"
