raw_building,raw_area,canonical_building,glb_name,include,notes,sort_key
Palladium Resident Hall,Washington Square,Palladium Resident Hall,PALLADIUM_RESIDENCE_HALL,yes,,palladium resident hall
Paulson Center,Washington Square,Paulson Center,PAULSON_CENTER,yes,,paulson center
Paulson Center - Exterior,Washington Square,Paulson Center - Exterior,PAULSON_CENTER,yes,,paulson center exterior
Paulson Center Residence Hall,Washington Square,Paulson Center Residence Hall,PAULSON_CENTER,yes,,paulson center residence hall
Paulson Residence Hall,Washington Square,Paulson Residence Hall,PAULSON_CENTER,yes,,paulson residence hall
Pless Annex - Exterior,Washington Square,Pless Annex - Exterior,PLESS_HALL,yes,,pless annex exterior
Pless Hall,Washington Square,Pless Hall,PLESS_HALL,yes,,pless hall
Pless Hall - Exterior,Washington Square,Pless Hall - Exterior,PLESS_HALL,yes,,pless hall exterior
Rubin Hall,Washington Square,Rubin Hall,RUBIN_HALL,yes,,rubin hall
Rubin Hall - Exterior,Washington Square,Rubin Hall - Exterior,RUBIN_HALL,yes,,rubin hall exterior
Rubin Residence Hall,Washington Square,Rubin Residence Hall,RUBIN_HALL,yes,,rubin residence hall
Rubin Residence Hall - Exterior,Washington Square,Rubin Residence Hall - Exterior,RUBIN_HALL,yes,,rubin residence hall exterior
Rufus D. Smith Hall,Washington Square,Rufus D. Smith Hall,RUFUS_D_SMITH_HALL,yes,,rufus d smith hall
Schwartz Building,Kips Bay,Schwartz Building,NYU_LANGONE,yes,,schwartz building
Schwartz Hall,Kips Bay,Schwartz Hall,NYU_LANGONE,yes,,schwartz hall
Schwartz Hall - Exterior,Kips Bay,Schwartz Hall - Exterior,NYU_LANGONE,yes,,schwartz hall exterior
Schwartz Plaza,Washington Square,Schwartz Plaza,NYU_LANGONE,yes,,schwartz plaza
Schwartz Plaza & West 4th Street,Washington Square,Schwartz Plaza & West 4th Street,NYU_LANGONE,yes,,schwartz plaza west 4th street
Second Street Residence - Exterior,Washington Square,Second Street Residence - Exterior,SECOND_STREET_RESIDENCE_HALL,yes,,second street residence exterior
Second Street Residence Hall,Washington Square,Second Street Residence Hall,SECOND_STREET_RESIDENCE_HALL,yes,,second street residence hall
Seventh Street Residence Hall,Washington Square,Seventh Street Residence Hall,SEVENTH_STREET_RESIDENCE_HALL,yes,,seventh street residence hall
Shimkin Hall,Washington Square,Shimkin Hall,246_GREENE_STREET,yes,,shimkin hall
Silver Building,Washington Square,Silver Building,SILVER_CENTER,yes,,silver building
Silver Building - Exterior,Washington Square,Silver Building - Exterior,SILVER_CENTER,yes,,silver building exterior
Silver Center,Washington Square,Silver Center,SILVER_CENTER,yes,,silver center
Silver Center - Exterior,Washington Square,Silver Center - Exterior,SILVER_CENTER,yes,,silver center exterior
Silver Main,Washington Square,Silver Main,SILVER_CENTER,yes,,silver main
Sixth Street Residence Hall,Washington Square,Sixth Street Residence Hall,6_STREET_RESIDENCE_HALL,yes,,sixth street residence hall
Sixth Street Residence Hall - Exterior,Washington Square,Sixth Street Residence Hall - Exterior,6_STREET_RESIDENCE_HALL,yes,,sixth street residence hall exterior
Skirball Center,Washington Square,Skirball Center,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,skirball center
Skirball Theater,Washington Square,Skirball Theater,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,skirball theater
Steinhardt Education Building,Washington Square,Steinhardt Education Building,18_WASHINGTON_PL,yes,,steinhardt education building
Student Technology Center,Washington Square,Student Technology Center,WASHINGTON_SQUARE_VILLAGE,yes,,student technology center
Sullivan Street & Washington Square South,Washington Square,Sullivan Street & Washington Square South,WASHINGTON_SQUARE_PARK,yes,,sullivan street washington square south
Third Avenue North,Washington Square,Third Avenue North,3N_RESIDENCE_HALL,yes,,third avenue north
Third Avenue North - Exterior,Washington Square,Third Avenue North - Exterior,3N_RESIDENCE_HALL,yes,,third avenue north exterior
Third Avenue North Residence Hall,Washington Square,Third Avenue North Residence Hall,3N_RESIDENCE_HALL,yes,,third avenue north residence hall
Third North,Washington Square,Third North,3N_RESIDENCE_HALL,yes,,third north
Third North Hall,Washington Square,Third North Hall,3N_RESIDENCE_HALL,yes,,third north hall
Third North Residence,Washington Square,Third North Residence,3N_RESIDENCE_HALL,yes,,third north residence
Third North Residence - Exterior,Washington Square,Third North Residence - Exterior,3N_RESIDENCE_HALL,yes,,third north residence exterior
Third North Residence Hall,Washington Square,Third North Residence Hall,3N_RESIDENCE_HALL,yes,,third north residence hall
Third North Residence Hall - Exterior,Washington Square,Third North Residence Hall - Exterior,3N_RESIDENCE_HALL,yes,,third north residence hall exterior
